"Google Pay and Apple Pay","Google Pay i Apple Pay"
"modern, mobile payment solutions.","nowoczesne, mobilne metody płatności."
"Buy now, pay later and installment payments","Płatności odroczone i ratalne"
"your store can offer customers the flexibility to pay later (PayPo, Twisto) or in installments (Bank Pekao).","Twój sklep może oferować klientom wygodne zakupy z opcją zapłaty później (PayPo, Twisto) lub na raty (Bank Pekao)."
"Create Tpay Account","Załóż konto Tpay"
"Create Sandbox Account","Załóż konto Sandbox"
"Automatic order cancellation","Automatyczne anulowanie zamówień"
"When enabled scheduled task will attempt to cancel all orders in pending payment status older than number of days stated in next configuration field.","Gdy aktywny: zadanie harmonogramu podejmie próbę anulowania wszystkich zamówień w statusie oczekującym na płatność starszych niż liczba dni podana w kolejnym polu konfiguracyjnym."
"Number of days","Liczba dni"
"Please enter value between 1 and 30","Wprowadź liczbę pomiędzy 1 i 30"
"Cancelled automatically due to lack of payment","Anulowane automatycznie z uwagi na brak płatności"
"Payment failed. Try again.","Błąd płatności, spróbuj ponownie."
"Payment successful!","Płatność zakończona sukcesem!"
"Thank You for choosing Tpay","Dziękujemy za skorzystanie z usługi Tpay."
"Payment with Tpay","Płatność z Tpay"
"Provide BLIK code","Wpisz kod BLIK"
"Read more.","Czytaj więcej."
"Online payment","Płatność online"
"Pay with Tpay!","Zapłać za zakupy z Tpay!"
